Gene	Direction_in_ABCs
Megf8	up
Megf9	up
Meis3	up
Melk	up
Men1	down
Mepce	down
Mertk	up
Mettl17	down
Mettl18	down
Mettl21a	up
Mettl22	down
Mettl7a1	up
Mfhas1	up
Mfng	down
Mfsd1	up
Mfsd7b	up
Mgat5	up
Mgst1	up
Mib1	up
Mib2	down
Mier2	down
Mif4gd	down
Miip	down
Mios	down
Mitd1	down
Mitf	up
Mkl1	down
Mknk2	down
Mkrn1	down
Mkrn2	down
Mlycd	down
Mnda	up
Mndal	down
Mob2	down
Mospd2	up
Mospd3	down
Mov10	down
Mpeg1	up
Mprip	down
Mpzl1	up
Mras	up
Mreg	up
Mrgbp	down
Mri1	down
Mrm1	down
Mrpl12	down
Mrpl2	down
Mrpl38	down
Mrpl46	down
Mrpl49	down
Mrps24	down
Ms4a1	down
Ms4a4b	down
Ms4a4c	down
Ms4a6b	down
Ms4a6c	down
Ms4a6d	down
Ms4a7	down
Mt1	up
mt-Atp8	up
Mtdh	up
Mtfr2	up
Mtg2	down
Mthfd1	down
Mtmr10	up
Mtor	down
Mtpn	up
Mum1	down
Mut	up
Mutyh	down
Mvb12b	up
Myadm	up
Mybl1	up
Myg1	down
Myh9	down
Myl12b	down
Myo1c	down
Myo1f	up
Myo3b	up
Myo9a	up
Mzb1	up
N4bp3	down
Naaa	up
Nab2	down
Nadsyn1	down
Narg2	down
Nav1_1	up
Nceh1	up
Ncf4	down
Nckipsd	down
Ncln	down
Ncoa4	up
Ncoa7	up
Ndor1	down
Ndrg1	down
Ndufab1	down
Ndufc1	down
Ndufc2	down
Ndufs7	down
Neat1	down
Nek1	up
Nek2	up
Nek6	up
Nek7	up
Nek8	down
Nelfb	down
Neurl2	down
Neurl3	down
Neurl4	down
Nfatc1	down
Nfatc2	down
Nfatc2ip	down
Nfatc3	down
Nfe2l1	down
Nfe2l2	down
Nfil3	down
Nfrkb	down
Nid1	up
Ninj1	up
Nipa2	up
Nisch	down
Nktr	down
Nle1	down
Nlrx1	up
Nob1	down
Noc2l	down
Nod2	up
Nol12	down
Nolc1	down
Nop56	down
Nosip	down
Nostrin	up
Npc1	up
Nprl2	down
Nptxr	up
Nr1d2	down
Nr1h2	down
Nr1h3	down
Nr2c1	down
Nr2c2	down
Nr3c1	down
Nr3c2	down
Nr4a1	down
Nrd1	down
Nrip1	up
Nrp2	up
Nt5c	down
Nt5m	down
Ntmt1	down
Ntng2	up
Nuak1	down
Nuak2	down
Nudt13	down
Nudt8	down
Nupl1	up
Nusap1	up
Nxf1	down
Nxt2	up
Oas1c	down
Oasl1	down
Ocrl	up
Ogfod2	down
Ogfrl1	up
Osbpl3	up
Osbpl5	down
Osbpl7	down
Osbpl8	up
Oxct1	up
P2rx7	down
P4ha1	down
Pafah1b1	down
Pafah1b2	down
Pafah1b3	down
Pagr1a	down
Paics	down
Pak1	up
Pan2	down
Pan3	down
Pank4	down
Paqr4	up
Paqr9	up
Parm1	up
Pax5	down
Paxbp1	down
Pbk	up
Pbrm1	up
Pbx3	up
Pck2	down
Pcnt	down
Pcnxl3	down
Pcolce2	up
Pcyox1	up
Pcyt1a	down
Pde8a	up
Pdlim7	down
Pdp2	up
Pdpr	up
Pds5a	up
Pea15a	up
Pear1	down
Per1	down
Pex6	down
Pfdn5	down
Pfdn6	down
Pfkl	down
Pglyrp1	down
Pglyrp2	down
Phactr2	up
Phb2	down
Phc1	down
Phc2	down
Phf1	down
Phf12	down
Phf21a	down
Phf6	up
Phf7	down
Phldb3	down
Phrf1	down
Phykpl	down
Pi4ka	down
Pi4kb	down
Pias4	down
Pick1	down
Pid1	up
Pih1d1	down
Pik3c2a	down
Pik3c2b	down
Pik3ca	down
Pik3cb	down
Pik3cg	down
Pik3ip1	down
Pik3r1	down
Pik3r2	down
Pik3r5	down
Pilra	up
Pilrb1	up
Pilrb2	up
Pim3	down
Pip4k2a	down
Pip4k2b	down
Pip4k2c	down
Pira2	up
Pisd	down
Pisd-ps1	down
Pkib	down
Pkn1	down
Pkp4	up
Pla2g4a	down
Pla2g7	down
Plbd1	up
Plcl1	up
Plcl2	down
Pld2	up
Plec	down
Plek	up
Plekhm3	down
Plin2	up
Plk1	up
Plk4	up
Pls3	up
Plscr1	up
Plxna1	up
Plxnb2	up
Plxnd1	up
Pnisr	down
Pnkp	down
Pnpla6	down
Pogk	up
Pold1	down
Pold2	down
Pold3	down
Polg2	down
Polr2e	down
Polr2i	down
Polr2j	down
Polr3d	down
Polrmt	down
