"","Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"32","AM14 MRLlpr","AM14 MRLlpr","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","12/267","387/28409",0.0310077519379845,3.29924803298203,4.43598657089445,0.000328846606639762,0.00544402642842799,0.00434036415054005,"19016/22259/20181/11622/15902/14281/79362/13654/16476/16478/15511/193740",12
"33","AM14 MRLlpr","AM14 MRLlpr","GO:0005126","cytokine receptor binding","11/267","332/28409",0.0331325301204819,3.5253260231939,4.50826696803314,0.000332690503959488,0.00544402642842799,0.00434036415054005,"20307/66102/20305/20303/216233/16175/17329/12703/12702/56066/171211",11
"34","AM14 MRLlpr","AM14 MRLlpr","GO:0005159","insulin-like growth factor receptor binding","3/267","17/28409",0.176470588235294,18.7766027759418,7.14124144125938,0.000506313578813265,0.00779153625716619,0.00621196555395901,"216233/16000/12703",3
"35","AM14 MRLlpr","AM14 MRLlpr","GO:0044389","ubiquitin-like protein ligase binding","11/267","350/28409",0.0314285714285714,3.34402354200107,4.29792049842748,0.000517646584180471,0.00779153625716619,0.00621196555395901,"12709/381308/59126/72828/13654/18671/12767/16476/226695/15511/193740",11
"36","AM14 MRLlpr","AM14 MRLlpr","GO:0001540","amyloid-beta binding","5/267","70/28409",0.0714285714285714,7.60005350454789,5.38521065777865,0.000519435750477746,0.00779153625716619,0.00621196555395901,"12491/11816/64294/13010/11555",5
"37","AM14 MRLlpr","AM14 MRLlpr","GO:0046943","carboxylic acid transmembrane transporter activity","8/267","196/28409",0.0408163265306122,4.34288771688451,4.57428976014193,0.000561110730841565,0.00818918363930933,0.00652899826213941,"20540/12491/20512/76408/50934/101488/66859/18671",8
"38","AM14 MRLlpr","AM14 MRLlpr","GO:0005342","organic acid transmembrane transporter activity","8/267","197/28409",0.0406091370558376,4.32084260157037,4.55578214566706,0.00058019699057372,0.00824490460288971,0.00657342296799589,"20540/12491/20512/76408/50934/101488/66859/18671",8
"39","AM14 MRLlpr","AM14 MRLlpr","GO:0033549","MAP kinase phosphatase activity","3/267","18/28409",0.166666666666667,17.7334581772784,6.91719615301909,0.000603367654555829,0.00835432137077302,0.00666065777903736,"19252/13537/70686",3
"40","AM14 MRLlpr","AM14 MRLlpr","GO:0031072","heat shock protein binding","7/267","155/28409",0.0451612903225806,4.80519511900447,4.62701908303004,0.000683352598470768,0.00922526007935537,0.00735503191511958,"16706/11622/14469/22695/73582/15511/193740",7
"41","AM14 MRLlpr","AM14 MRLlpr","GO:0005319","lipid transporter activity","7/267","175/28409",0.04,4.25602996254682,4.2084259784472,0.00138643061453041,0.0182603056547908,0.0145584113310126,"12491/11816/76408/101488/22038/216892/18671",7
